,time,variable,value
0,2015-01-01,INRice,0.0
1,2015-01-02,INRice,0.0
2,2015-01-03,INRice,0.0
3,2015-01-09,INRice,0.0
4,2015-01-10,INRice,0.0
5,2015-01-11,INRice,0.0
6,2015-01-15,INRice,0.0
7,2015-01-18,INRice,0.0
8,2015-01-19,INRice,0.0
9,2015-01-20,INRice,0.0
10,2015-02-06,INRice,0.0
11,2015-02-13,INRice,0.0
12,2015-02-14,INRice,0.0
13,2015-02-22,INRice,0.0
14,2015-03-14,INRice,0.0
15,2015-03-17,INRice,0.0
16,2015-03-22,INRice,0.0
17,2015-03-25,INRice,0.0
18,2015-03-26,INRice,0.0
19,2015-04-06,INRice,0.0
20,2015-04-12,INRice,0.0
21,2015-04-17,INRice,0.0
22,2015-05-04,INRice,6.032
23,2015-05-05,INRice,-0.8399999999999999
24,2015-05-06,INRice,6.088
25,2015-05-07,INRice,6.104
26,2015-05-08,INRice,0.4400000000000004
27,2015-05-09,INRice,-0.1600000000000001
28,2015-05-10,INRice,1.5520000000000005
29,2015-05-11,INRice,6.1530000000000005
30,2015-05-16,INRice,6.207
31,2015-05-25,INRice,-10.481000000000002
32,2015-05-26,INRice,-11.0505
33,2015-05-27,INRice,6.1145000000000005
34,2015-05-28,INRice,-0.0255
35,2015-05-29,INRice,6.3325
36,2015-05-30,INRice,2.9305
37,2015-05-31,INRice,5.837000000000001
38,2015-06-01,INRice,6.583
39,2015-06-11,INRice,6.468
40,2015-06-12,INRice,1.588
41,2015-06-13,INRice,6.648
42,2015-06-14,INRice,6.5280000000000005
43,2015-06-15,INRice,6.636
44,2015-06-16,INRice,6.552
45,2015-06-17,INRice,6.336
46,2015-06-18,INRice,-33.69200000000001
47,2015-06-19,INRice,-23.868
48,2015-06-20,INRice,6.48
49,2015-06-21,INRice,-3.785
50,2015-06-22,INRice,5.1325
51,2015-06-23,INRice,3.46
52,2015-06-24,INRice,-5.5125
53,2015-06-25,INRice,5.745
54,2015-06-26,INRice,5.375
55,2015-06-27,INRice,6.6625
56,2015-06-28,INRice,6.6375
57,2015-06-29,INRice,-9.505000000000004
58,2015-06-30,INRice,-11.192500000000004
59,2015-07-01,INRice,6.013999999999999
60,2015-07-02,INRice,-16.238999999999997
61,2015-07-03,INRice,6.455
62,2015-07-04,INRice,-0.3040000000000002
63,2015-07-05,INRice,0.928
64,2015-07-06,INRice,-34.789
65,2015-07-07,INRice,-43.731
66,2015-07-08,INRice,-38.112
67,2015-07-09,INRice,-55.109
68,2015-07-10,INRice,-58.153000000000006
69,2015-07-11,INRice,-9.2925
70,2015-07-12,INRice,2.4725
71,2015-07-13,INRice,6.1075
72,2015-07-14,INRice,6.15
73,2015-07-17,INRice,-0.620000000000001
74,2015-07-18,INRice,6.1875
75,2015-07-19,INRice,6.3125
76,2015-08-08,INRice,0.0
77,2015-08-09,INRice,0.0
78,2015-08-10,INRice,0.0
79,2015-08-11,INRice,0.0
80,2015-08-12,INRice,0.0
81,2015-08-13,INRice,0.0
82,2015-08-14,INRice,0.0
83,2015-08-15,INRice,0.0
84,2015-08-22,INRice,0.0
85,2015-08-23,INRice,0.0
86,2015-09-02,INRice,0.0
87,2015-09-03,INRice,0.0
88,2015-09-04,INRice,0.0
89,2015-09-05,INRice,0.0
90,2015-09-06,INRice,0.0
91,2015-09-07,INRice,0.0
92,2015-09-08,INRice,0.0
93,2015-09-09,INRice,0.0
94,2015-09-10,INRice,0.0
95,2015-09-11,INRice,0.0
96,2015-09-12,INRice,0.0
97,2015-09-13,INRice,0.0
98,2015-09-14,INRice,0.0
99,2015-09-15,INRice,0.0
100,2015-09-16,INRice,0.0
101,2015-09-17,INRice,0.0
102,2015-09-18,INRice,0.0
103,2015-09-19,INRice,0.0
104,2015-09-20,INRice,0.0
105,2015-09-21,INRice,0.0
106,2015-09-22,INRice,0.0
107,2015-09-23,INRice,0.0
108,2015-09-24,INRice,0.0
109,2015-09-25,INRice,0.0
110,2015-09-26,INRice,0.0
111,2015-09-27,INRice,0.0
112,2015-09-28,INRice,0.0
113,2015-09-29,INRice,0.0
114,2015-09-30,INRice,0.0
115,2015-10-01,INRice,0.0
116,2015-10-02,INRice,0.0
117,2015-10-03,INRice,0.0
118,2015-10-04,INRice,0.0
119,2015-10-05,INRice,0.0
120,2015-10-06,INRice,0.0
121,2015-10-13,INRice,0.0
122,2015-10-14,INRice,0.0
123,2015-10-15,INRice,0.0
124,2015-10-16,INRice,0.0
125,2015-10-17,INRice,0.0
126,2015-10-18,INRice,0.0
127,2015-10-19,INRice,0.0
128,2015-10-20,INRice,0.0
129,2015-10-21,INRice,0.0
130,2015-11-14,INRice,0.0
131,2015-11-15,INRice,0.0
132,2015-11-16,INRice,0.0
133,2015-11-17,INRice,0.0
134,2015-11-19,INRice,0.0
135,2015-11-24,INRice,0.0
136,2015-11-25,INRice,0.0
137,2015-11-26,INRice,0.0
138,2015-11-27,INRice,0.0
139,2015-11-28,INRice,0.0
140,2015-11-29,INRice,0.0
141,2015-11-30,INRice,0.0
142,2015-12-05,INRice,0.0
143,2015-12-06,INRice,0.0
144,2015-12-07,INRice,0.0
145,2015-12-09,INRice,0.0
146,2015-12-16,INRice,0.0
147,2015-12-18,INRice,0.0
148,2015-12-19,INRice,0.0
149,2015-12-20,INRice,0.0
150,2015-12-21,INRice,0.0
151,2015-12-22,INRice,0.0
152,2015-12-31,INRice,0.0
153,2016-01-01,INRice,0.0
154,2016-01-07,INRice,0.0
155,2016-01-08,INRice,0.0
156,2016-01-13,INRice,0.0
157,2016-01-24,INRice,0.0
158,2016-02-06,INRice,0.0
159,2016-02-07,INRice,0.0
160,2016-02-08,INRice,0.0
161,2016-02-10,INRice,0.0
162,2016-02-19,INRice,0.0
163,2016-02-25,INRice,0.0
164,2016-02-26,INRice,0.0
165,2016-02-27,INRice,0.0
166,2016-03-01,INRice,0.0
167,2016-03-02,INRice,0.0
168,2016-03-04,INRice,0.0
169,2016-03-05,INRice,0.0
170,2016-03-16,INRice,0.0
171,2016-03-28,INRice,0.0
172,2016-03-29,INRice,0.0
173,2016-03-30,INRice,0.0
174,2016-04-01,INRice,0.0
175,2016-04-02,INRice,0.0
176,2016-04-03,INRice,0.0
177,2016-04-05,INRice,0.0
178,2016-04-06,INRice,0.0
179,2016-04-09,INRice,0.0
180,2016-04-13,INRice,0.0
181,2016-04-14,INRice,0.0
182,2016-04-15,INRice,0.0
183,2016-04-16,INRice,0.0
184,2016-04-20,INRice,0.0
185,2016-04-28,INRice,0.0
186,2016-04-29,INRice,0.0
187,2016-04-30,INRice,0.0
188,2016-05-01,INRice,106.008
189,2016-05-06,INRice,6.16
190,2016-05-07,INRice,6.128
191,2016-05-12,INRice,6.036
192,2016-05-15,INRice,6.225
193,2016-05-18,INRice,6.297
194,2016-05-19,INRice,-35.669000000000004
195,2016-05-20,INRice,1.372
196,2016-05-21,INRice,6.133500000000001
197,2016-05-22,INRice,6.209
198,2016-05-23,INRice,5.9375
199,2016-05-24,INRice,-33.2025
200,2016-05-25,INRice,6.304
201,2016-05-26,INRice,-15.475
202,2016-05-27,INRice,6.437
203,2016-05-28,INRice,5.581
204,2016-05-29,INRice,5.827500000000001
205,2016-05-30,INRice,0.0030000000000001
206,2016-05-31,INRice,6.3705
207,2016-06-01,INRice,-18.514000000000003
208,2016-06-02,INRice,2.5250000000000004
209,2016-06-03,INRice,-0.7020000000000008
210,2016-06-04,INRice,6.407
211,2016-06-06,INRice,-3.96
212,2016-06-08,INRice,-4.514000000000001
213,2016-06-09,INRice,6.107
214,2016-06-10,INRice,-1.5460000000000012
215,2016-06-11,INRice,5.064
216,2016-06-12,INRice,5.712
217,2016-06-13,INRice,-1.0040000000000004
218,2016-06-14,INRice,0.3399999999999998
219,2016-06-15,INRice,6.672
220,2016-06-16,INRice,4.336
221,2016-06-17,INRice,6.504
222,2016-06-18,INRice,6.552
223,2016-06-19,INRice,6.432
224,2016-06-20,INRice,5.771999999999999
225,2016-06-21,INRice,6.25
226,2016-06-22,INRice,-11.567500000000004
227,2016-06-23,INRice,-2.8575000000000017
228,2016-06-24,INRice,6.525
229,2016-06-25,INRice,6.3
230,2016-06-26,INRice,6.5875
231,2016-06-27,INRice,-7.515000000000002
232,2016-06-28,INRice,0.5449999999999999
233,2016-06-29,INRice,6.1875
234,2016-06-30,INRice,-9.317500000000004
235,2016-07-01,INRice,3.4799999999999995
236,2016-07-02,INRice,6.533
237,2016-07-07,INRice,4.007
238,2016-07-08,INRice,-46.523
239,2016-07-09,INRice,-21.768
240,2016-07-10,INRice,-8.585
241,2016-07-11,INRice,-8.190000000000001
242,2016-07-12,INRice,-6.800000000000001
243,2016-07-13,INRice,6.4125
244,2016-07-14,INRice,5.5325
245,2016-07-15,INRice,0.8075000000000001
246,2016-07-16,INRice,1.5575
247,2016-07-17,INRice,5.8125
248,2016-07-18,INRice,6.35
249,2016-07-20,INRice,5.487500000000001
250,2016-07-21,INRice,5.772
251,2016-07-22,INRice,5.484
252,2016-07-23,INRice,-3.292
253,2016-07-24,INRice,4.92
254,2016-07-25,INRice,-8.172
255,2016-07-26,INRice,6.468
256,2016-08-02,INRice,0.0
257,2016-08-03,INRice,6.1888
258,2016-08-04,INRice,-12.856400000000002
259,2016-08-05,INRice,6.1416
260,2016-08-06,INRice,0.0
261,2016-08-07,INRice,0.0
262,2016-08-08,INRice,0.0
263,2016-08-09,INRice,0.0
264,2016-08-10,INRice,0.0
265,2016-08-11,INRice,0.0
266,2016-08-12,INRice,0.0
267,2016-08-13,INRice,0.0
268,2016-08-14,INRice,0.0
269,2016-08-15,INRice,0.0
270,2016-08-16,INRice,0.0
271,2016-08-17,INRice,0.0
272,2016-08-18,INRice,0.0
273,2016-08-19,INRice,0.0
274,2016-08-20,INRice,0.0
275,2016-08-21,INRice,0.0
276,2016-08-22,INRice,0.0
277,2016-08-23,INRice,0.0
278,2016-08-24,INRice,0.0
279,2016-08-25,INRice,0.0
280,2016-08-26,INRice,0.0
281,2016-08-27,INRice,0.0
282,2016-08-28,INRice,0.0
283,2016-08-29,INRice,0.0
284,2016-08-30,INRice,0.0
285,2016-08-31,INRice,0.0
286,2016-09-04,INRice,0.0
287,2016-09-05,INRice,0.0
288,2016-09-06,INRice,0.0
289,2016-09-07,INRice,0.0
290,2016-09-08,INRice,0.0
291,2016-09-09,INRice,0.0
292,2016-09-10,INRice,0.0
293,2016-09-11,INRice,0.0
294,2016-09-12,INRice,0.0
295,2016-09-13,INRice,0.0
296,2016-09-14,INRice,0.0
297,2016-09-15,INRice,0.0
298,2016-09-16,INRice,0.0
299,2016-09-17,INRice,0.0
300,2016-09-18,INRice,0.0
301,2016-09-19,INRice,0.0
302,2016-09-20,INRice,0.0
303,2016-09-21,INRice,0.0
304,2016-09-22,INRice,0.0
305,2016-09-23,INRice,0.0
306,2016-09-24,INRice,0.0
307,2016-09-25,INRice,0.0
308,2016-09-26,INRice,0.0
309,2016-09-27,INRice,0.0
310,2016-09-28,INRice,0.0
311,2016-09-29,INRice,0.0
312,2016-09-30,INRice,0.0
313,2016-10-01,INRice,0.0
314,2016-10-06,INRice,0.0
315,2016-10-08,INRice,0.0
316,2016-10-09,INRice,0.0
317,2016-10-10,INRice,0.0
318,2016-10-11,INRice,0.0
319,2016-10-12,INRice,0.0
320,2016-10-13,INRice,0.0
321,2016-10-14,INRice,0.0
322,2016-10-15,INRice,0.0
323,2016-10-16,INRice,0.0
324,2016-10-17,INRice,0.0
325,2016-10-18,INRice,0.0
326,2016-10-19,INRice,0.0
327,2016-10-20,INRice,0.0
328,2016-10-21,INRice,0.0
329,2016-10-22,INRice,0.0
330,2016-10-23,INRice,0.0
331,2016-10-24,INRice,0.0
332,2016-10-25,INRice,0.0
333,2016-10-26,INRice,0.0
334,2016-10-27,INRice,0.0
335,2016-10-28,INRice,0.0
336,2016-10-29,INRice,0.0
337,2016-10-30,INRice,0.0
338,2016-10-31,INRice,0.0
339,2016-11-01,INRice,0.0
340,2016-11-02,INRice,0.0
341,2016-11-03,INRice,0.0
342,2016-11-04,INRice,0.0
343,2016-11-05,INRice,0.0
344,2016-11-06,INRice,0.0
345,2016-11-07,INRice,0.0
346,2016-11-08,INRice,0.0
347,2016-11-11,INRice,0.0
348,2016-11-12,INRice,0.0
349,2016-11-13,INRice,0.0
350,2016-11-14,INRice,0.0
351,2016-11-15,INRice,0.0
352,2016-11-16,INRice,0.0
353,2016-11-17,INRice,0.0
354,2016-11-18,INRice,0.0
355,2016-11-19,INRice,0.0
356,2016-11-20,INRice,0.0
357,2016-11-21,INRice,0.0
358,2016-11-29,INRice,0.0
359,2016-11-30,INRice,0.0
360,2016-12-01,INRice,0.0
361,2016-12-02,INRice,0.0
362,2016-12-03,INRice,0.0
363,2016-12-04,INRice,0.0
364,2016-12-05,INRice,0.0
365,2016-12-06,INRice,0.0
366,2016-12-07,INRice,0.0
367,2016-12-08,INRice,0.0
368,2016-12-09,INRice,0.0
369,2016-12-10,INRice,0.0
370,2016-12-11,INRice,0.0
371,2016-12-12,INRice,0.0
372,2016-12-13,INRice,0.0
373,2016-12-14,INRice,0.0
374,2016-12-15,INRice,0.0
375,2016-12-16,INRice,0.0
376,2016-12-17,INRice,0.0
377,2016-12-18,INRice,0.0
378,2016-12-19,INRice,0.0
379,2016-12-20,INRice,0.0
380,2016-12-26,INRice,0.0
381,2016-12-27,INRice,0.0
382,2016-12-28,INRice,0.0
383,2016-12-29,INRice,0.0
384,2017-01-01,INRice,0.0
385,2017-01-05,INRice,0.0
386,2017-01-06,INRice,0.0
387,2017-01-07,INRice,0.0
388,2017-01-11,INRice,0.0
389,2017-01-12,INRice,0.0
390,2017-01-13,INRice,0.0
391,2017-01-16,INRice,0.0
392,2017-01-26,INRice,0.0
393,2017-01-27,INRice,0.0
394,2017-01-28,INRice,0.0
