,time,variable,value
0,2015-01-01,T_mean,22.4
1,2015-01-02,T_mean,23.9
2,2015-01-03,T_mean,24.4
3,2015-01-09,T_mean,22.9
4,2015-01-10,T_mean,23.2
5,2015-01-11,T_mean,23.7
6,2015-01-15,T_mean,25.1
7,2015-01-18,T_mean,20.2
8,2015-01-19,T_mean,25.6
9,2015-01-20,T_mean,26.4
10,2015-02-06,T_mean,24.8
11,2015-02-13,T_mean,25.6
12,2015-02-14,T_mean,26.6
13,2015-02-22,T_mean,25.3
14,2015-03-14,T_mean,26.6
15,2015-03-17,T_mean,26.2
16,2015-03-22,T_mean,27.7
17,2015-03-25,T_mean,27.1
18,2015-03-26,T_mean,27.8
19,2015-04-06,T_mean,27.5
20,2015-04-12,T_mean,28.9
21,2015-04-17,T_mean,30.4
22,2015-05-04,T_mean,27.5
23,2015-05-05,T_mean,30.6
24,2015-05-06,T_mean,28.6
25,2015-05-07,T_mean,28.3
26,2015-05-08,T_mean,28.9
27,2015-05-09,T_mean,28.4
28,2015-05-10,T_mean,29.3
29,2015-05-11,T_mean,29.9
30,2015-05-16,T_mean,30.7
31,2015-05-25,T_mean,29.9
32,2015-05-26,T_mean,29.8
33,2015-05-27,T_mean,28.9
34,2015-05-28,T_mean,29.8
35,2015-05-29,T_mean,29.2
36,2015-05-30,T_mean,28.6
37,2015-05-31,T_mean,29.1
38,2015-06-01,T_mean,30.4
39,2015-06-11,T_mean,29.3
40,2015-06-12,T_mean,30.3
41,2015-06-13,T_mean,29.1
42,2015-06-14,T_mean,30.3
43,2015-06-15,T_mean,30.7
44,2015-06-16,T_mean,29.9
45,2015-06-17,T_mean,27.9
46,2015-06-18,T_mean,27.9
47,2015-06-19,T_mean,29.3
48,2015-06-20,T_mean,27.9
49,2015-06-21,T_mean,27.1
50,2015-06-22,T_mean,29.1
51,2015-06-23,T_mean,29.5
52,2015-06-24,T_mean,29.8
53,2015-06-25,T_mean,30.2
54,2015-06-26,T_mean,29.2
55,2015-06-27,T_mean,28.8
56,2015-06-28,T_mean,29.2
57,2015-06-29,T_mean,29.1
58,2015-06-30,T_mean,29.6
59,2015-07-01,T_mean,30.1
60,2015-07-02,T_mean,29.2
61,2015-07-03,T_mean,29.3
62,2015-07-04,T_mean,28.4
63,2015-07-05,T_mean,25.4
64,2015-07-06,T_mean,24.1
65,2015-07-07,T_mean,27.6
66,2015-07-08,T_mean,26.3
67,2015-07-09,T_mean,25.6
68,2015-07-10,T_mean,26.3
69,2015-07-11,T_mean,28.2
70,2015-07-12,T_mean,28.8
71,2015-07-13,T_mean,29.5
72,2015-07-14,T_mean,29.3
73,2015-07-17,T_mean,28.5
74,2015-07-18,T_mean,29.1
75,2015-07-19,T_mean,29.3
76,2015-08-08,T_mean,29.3
77,2015-08-09,T_mean,27.0
78,2015-08-10,T_mean,27.3
79,2015-08-11,T_mean,29.4
80,2015-08-12,T_mean,26.9
81,2015-08-13,T_mean,27.3
82,2015-08-14,T_mean,29.0
83,2015-08-15,T_mean,29.9
84,2015-08-22,T_mean,27.3
85,2015-08-23,T_mean,27.1
86,2015-09-02,T_mean,28.3
87,2015-09-03,T_mean,28.6
88,2015-09-04,T_mean,29.2
89,2015-09-05,T_mean,27.5
90,2015-09-06,T_mean,28.6
91,2015-09-07,T_mean,27.7
92,2015-09-08,T_mean,28.3
93,2015-09-09,T_mean,29.2
94,2015-09-10,T_mean,27.2
95,2015-09-11,T_mean,26.6
96,2015-09-12,T_mean,27.7
97,2015-09-13,T_mean,26.3
98,2015-09-14,T_mean,27.4
99,2015-09-15,T_mean,27.3
100,2015-09-16,T_mean,26.9
101,2015-09-17,T_mean,27.5
102,2015-09-18,T_mean,28.6
103,2015-09-19,T_mean,27.1
104,2015-09-20,T_mean,27.4
105,2015-09-21,T_mean,26.7
106,2015-09-22,T_mean,28.3
107,2015-09-23,T_mean,28.6
108,2015-09-24,T_mean,29.3
109,2015-09-25,T_mean,29.4
110,2015-09-26,T_mean,28.9
111,2015-09-27,T_mean,28.3
112,2015-09-28,T_mean,27.6
113,2015-09-29,T_mean,29.3
114,2015-09-30,T_mean,27.8
115,2015-10-01,T_mean,25.7
116,2015-10-02,T_mean,25.9
117,2015-10-03,T_mean,28.2
118,2015-10-04,T_mean,25.8
119,2015-10-05,T_mean,27.7
120,2015-10-06,T_mean,28.0
121,2015-10-13,T_mean,28.7
122,2015-10-14,T_mean,26.7
123,2015-10-15,T_mean,27.8
124,2015-10-16,T_mean,27.3
125,2015-10-17,T_mean,26.9
126,2015-10-18,T_mean,27.3
127,2015-10-19,T_mean,28.1
128,2015-10-20,T_mean,28.3
129,2015-10-21,T_mean,27.4
130,2015-11-14,T_mean,27.7
131,2015-11-15,T_mean,27.1
132,2015-11-16,T_mean,28.7
133,2015-11-17,T_mean,28.7
134,2015-11-19,T_mean,27.7
135,2015-11-24,T_mean,28.2
136,2015-11-25,T_mean,28.0
137,2015-11-26,T_mean,26.3
138,2015-11-27,T_mean,27.7
139,2015-11-28,T_mean,27.9
140,2015-11-29,T_mean,27.8
141,2015-11-30,T_mean,27.7
142,2015-12-05,T_mean,27.3
143,2015-12-06,T_mean,27.8
144,2015-12-07,T_mean,28.1
145,2015-12-09,T_mean,28.4
146,2015-12-16,T_mean,24.3
147,2015-12-18,T_mean,25.6
148,2015-12-19,T_mean,23.3
149,2015-12-20,T_mean,26.0
150,2015-12-21,T_mean,27.5
151,2015-12-22,T_mean,27.0
152,2015-12-31,T_mean,25.9
153,2016-01-01,T_mean,25.9
154,2016-01-07,T_mean,26.3
155,2016-01-08,T_mean,27.1
156,2016-01-13,T_mean,26.9
157,2016-01-24,T_mean,27.1
158,2016-02-06,T_mean,25.5
159,2016-02-07,T_mean,24.3
160,2016-02-08,T_mean,24.5
161,2016-02-10,T_mean,26.9
162,2016-02-19,T_mean,27.7
163,2016-02-25,T_mean,26.8
164,2016-02-26,T_mean,25.7
165,2016-02-27,T_mean,27.9
166,2016-03-01,T_mean,27.2
167,2016-03-02,T_mean,26.6
168,2016-03-04,T_mean,26.6
169,2016-03-05,T_mean,28.8
170,2016-03-16,T_mean,28.9
171,2016-03-28,T_mean,27.8
172,2016-03-29,T_mean,28.0
173,2016-03-30,T_mean,28.7
174,2016-04-01,T_mean,27.9
175,2016-04-02,T_mean,28.7
176,2016-04-03,T_mean,29.1
177,2016-04-05,T_mean,29.1
178,2016-04-06,T_mean,29.3
179,2016-04-09,T_mean,30.0
180,2016-04-13,T_mean,30.6
181,2016-04-14,T_mean,30.9
182,2016-04-15,T_mean,30.3
183,2016-04-16,T_mean,31.3
184,2016-04-20,T_mean,30.4
185,2016-04-28,T_mean,31.1
186,2016-04-29,T_mean,29.1
187,2016-04-30,T_mean,30.2
188,2016-05-01,T_mean,31.5
189,2016-05-06,T_mean,31.2
190,2016-05-07,T_mean,31.1
191,2016-05-12,T_mean,29.3
192,2016-05-15,T_mean,31.2
193,2016-05-18,T_mean,28.2
194,2016-05-19,T_mean,28.8
195,2016-05-20,T_mean,28.7
196,2016-05-21,T_mean,30.0
197,2016-05-22,T_mean,30.4
198,2016-05-23,T_mean,29.4
199,2016-05-24,T_mean,29.8
200,2016-05-25,T_mean,28.6
201,2016-05-26,T_mean,29.9
202,2016-05-27,T_mean,30.2
203,2016-05-28,T_mean,29.1
204,2016-05-29,T_mean,28.8
205,2016-05-30,T_mean,29.9
206,2016-05-31,T_mean,27.5
207,2016-06-01,T_mean,28.6
208,2016-06-02,T_mean,28.0
209,2016-06-03,T_mean,29.8
210,2016-06-04,T_mean,30.0
211,2016-06-06,T_mean,28.2
212,2016-06-08,T_mean,29.0
213,2016-06-09,T_mean,27.8
214,2016-06-10,T_mean,29.6
215,2016-06-11,T_mean,29.6
216,2016-06-12,T_mean,28.1
217,2016-06-13,T_mean,28.8
218,2016-06-14,T_mean,30.2
219,2016-06-15,T_mean,29.8
220,2016-06-16,T_mean,29.4
221,2016-06-17,T_mean,29.2
222,2016-06-18,T_mean,29.9
223,2016-06-19,T_mean,30.2
224,2016-06-20,T_mean,29.6
225,2016-06-21,T_mean,28.3
226,2016-06-22,T_mean,27.6
227,2016-06-23,T_mean,29.0
228,2016-06-24,T_mean,29.1
229,2016-06-25,T_mean,29.9
230,2016-06-26,T_mean,27.1
231,2016-06-27,T_mean,27.9
232,2016-06-28,T_mean,28.8
233,2016-06-29,T_mean,27.9
234,2016-06-30,T_mean,27.7
235,2016-07-01,T_mean,29.2
236,2016-07-02,T_mean,28.7
237,2016-07-07,T_mean,27.0
238,2016-07-08,T_mean,25.7
239,2016-07-09,T_mean,26.3
240,2016-07-10,T_mean,26.7
241,2016-07-11,T_mean,26.4
242,2016-07-12,T_mean,28.6
243,2016-07-13,T_mean,29.3
244,2016-07-14,T_mean,27.9
245,2016-07-15,T_mean,28.8
246,2016-07-16,T_mean,29.0
247,2016-07-17,T_mean,28.8
248,2016-07-18,T_mean,30.4
249,2016-07-20,T_mean,28.6
250,2016-07-21,T_mean,28.6
251,2016-07-22,T_mean,27.4
252,2016-07-23,T_mean,27.3
253,2016-07-24,T_mean,27.4
254,2016-07-25,T_mean,29.2
255,2016-07-26,T_mean,29.3
256,2016-08-02,T_mean,27.5
257,2016-08-03,T_mean,29.2
258,2016-08-04,T_mean,29.3
259,2016-08-05,T_mean,28.3
260,2016-08-06,T_mean,27.5
261,2016-08-07,T_mean,28.2
262,2016-08-08,T_mean,26.4
263,2016-08-09,T_mean,25.4
264,2016-08-10,T_mean,26.3
265,2016-08-11,T_mean,27.7
266,2016-08-12,T_mean,25.8
267,2016-08-13,T_mean,25.0
268,2016-08-14,T_mean,28.2
269,2016-08-15,T_mean,28.4
270,2016-08-16,T_mean,27.7
271,2016-08-17,T_mean,29.1
272,2016-08-18,T_mean,28.9
273,2016-08-19,T_mean,28.7
274,2016-08-20,T_mean,27.1
275,2016-08-21,T_mean,27.4
276,2016-08-22,T_mean,29.3
277,2016-08-23,T_mean,28.7
278,2016-08-24,T_mean,29.3
279,2016-08-25,T_mean,27.9
280,2016-08-26,T_mean,27.2
281,2016-08-27,T_mean,27.6
282,2016-08-28,T_mean,26.9
283,2016-08-29,T_mean,27.8
284,2016-08-30,T_mean,28.8
285,2016-08-31,T_mean,29.2
286,2016-09-04,T_mean,26.7
287,2016-09-05,T_mean,28.6
288,2016-09-06,T_mean,29.2
289,2016-09-07,T_mean,28.3
290,2016-09-08,T_mean,26.6
291,2016-09-09,T_mean,27.9
292,2016-09-10,T_mean,29.1
