,year,month,Kc,year_month
0,2015,1,1.275,2015-1
1,2015,2,0.87,2015-1
2,2015,3,0.0,2015-1
3,2015,4,0.0,2015-1
4,2015,5,0.8781249999999997,2015-1
5,2015,6,1.219047619047619,2015-1
6,2015,7,1.2794117647058822,2015-1
7,2015,8,1.153,2015-1
8,2015,9,0.0,2015-1
9,2015,10,0.0,2015-1
10,2015,11,0.9291666666666666,2015-2
11,2015,12,1.1772727272727272,2015-2
12,2016,1,1.27,2016-2
13,2016,2,0.7337499999999999,2016-2
14,2016,3,0.0,2016-3
15,2016,4,0.0,2016-3
16,2016,5,0.9131578947368418,2016-3
17,2016,6,1.1892857142857143,2016-3
18,2016,7,1.2499999999999998,2016-3
19,2016,8,1.148,2016-4
20,2016,9,0.0,2016-4
21,2016,10,0.0,2016-4
22,2016,11,0.8690476190476191,2016-5
23,2016,12,1.1666666666666663,2016-5
24,2017,1,1.2461538461538457,2017-5
25,2017,2,0.6742857142857143,2017-5
26,2017,3,0.0,2017-5
27,2017,4,0.0,2017-5
28,2017,5,0.9184210526315787,2017-5
29,2017,6,1.1399999999999997,2017-5
30,2017,7,1.2483333333333337,2017-5
31,2017,8,1.148571428571429,2017-5
32,2017,9,0.0,2017-5
33,2017,10,0.0,2017-5
34,2017,11,0.8949999999999998,2017-5
35,2017,12,1.1796296296296294,2017-5
36,2018,1,1.2230769230769227,2018-5
37,2018,2,0.8725,2018-5
38,2018,3,0.0,2018-6
39,2018,4,0.0,2018-6
40,2018,5,0.9133333333333332,2018-6
41,2018,6,1.164285714285714,2018-6
42,2018,7,1.248387096774194,2018-6
43,2018,8,1.1533333333333333,2018-6
44,2018,9,0.0,2018-6
45,2018,10,0.0,2018-6
46,2018,11,0.85,2018-6
47,2018,12,1.1899999999999997,2018-6
48,2019,1,1.2666666666666668,2019-6
49,2019,2,1.18,2019-6
50,2019,3,0.0,2019-6
51,2019,4,0.0,2019-6
52,2019,5,0.9071428571428568,2019-6
53,2019,6,1.1727272727272726,2019-6
54,2019,7,1.2407407407407407,2019-6
55,2019,8,1.1489999999999998,2019-6
56,2019,9,0.0,2019-6
57,2019,10,0.0,2019-6
58,2019,11,0.8789473684210524,2019-6
59,2019,12,1.1571428571428573,2019-7
60,2020,1,1.2499999999999998,2020-7
61,2020,2,0.9783333333333332,2020-7
62,2020,3,0.0,2020-7
63,2020,4,0.0,2020-7
64,2020,5,0.8791666666666668,2020-7
65,2020,6,1.2055555555555555,2020-7
66,2020,7,1.2448275862068967,2020-7
67,2020,8,1.1574999999999998,2020-7
68,2020,9,0.0,2020-7
69,2020,10,0.0,2020-7
70,2020,11,0.8730769230769229,2020-7
71,2020,12,1.1722222222222218,2020-7
72,2021,1,1.248387096774194,2021-7
73,2021,2,0.8321428571428567,2021-7
74,2021,3,0.0,2021-7
75,2021,4,0.0,2021-7
76,2021,5,0.8854838709677417,2021-8
77,2021,6,1.1833333333333331,2021-8
78,2021,7,1.248387096774194,2021-8
79,2021,8,1.1490322580645158,2021-8
80,2021,9,0.0,2021-8
81,2021,10,0.0,2021-8
82,2021,11,0.8759259259259258,2021-8
