,year,month,variable,value,year_week
0,2015,1,T_max,28.639999999999997,2015-1
1,2015,1,T_mean,23.779999999999998,2015-1
2,2015,1,T_min,19.906666666666666,2015-1
3,2015,2,T_max,30.5,2015-1
4,2015,2,T_mean,25.575,2015-1
5,2015,2,T_min,20.293750000000003,2015-1
6,2015,3,T_max,32.239999999999995,2015-1
7,2015,3,T_mean,27.080000000000002,2015-1
8,2015,3,T_min,22.16,2015-1
9,2015,4,T_max,34.96666666666667,2015-1
10,2015,4,T_mean,28.933333333333334,2015-2
11,2015,4,T_min,22.349999999999998,2015-2
12,2015,5,T_max,34.221875000000004,2015-2
13,2015,5,T_mean,29.218750000000004,2015-2
14,2015,5,T_min,24.681250000000002,2015-3
15,2015,6,T_max,34.01428571428572,2015-3
16,2015,6,T_mean,29.266666666666673,2015-3
17,2015,6,T_min,25.038095238095234,2015-3
18,2015,7,T_max,31.05,2015-3
19,2015,7,T_mean,27.94117647058824,2015-4
20,2015,7,T_min,24.985294117647058,2015-4
21,2015,8,T_max,31.51,2015-4
22,2015,8,T_mean,28.050000000000004,2015-5
23,2015,8,T_min,25.165,2015-5
24,2015,9,T_max,32.736206896551714,2015-5
25,2015,9,T_mean,27.986206896551717,2015-5
26,2015,9,T_min,24.577586206896548,2015-5
27,2015,10,T_max,31.183333333333334,2015-5
28,2015,10,T_mean,27.319999999999997,2015-5
29,2015,10,T_min,23.87333333333333,2015-5
30,2015,11,T_max,33.145833333333336,2015-5
31,2015,11,T_mean,27.791666666666668,2015-5
32,2015,11,T_min,23.20833333333333,2015-5
33,2015,12,T_max,30.372727272727275,2015-5
34,2015,12,T_mean,26.472727272727273,2015-5
35,2015,12,T_min,22.810606060606066,2015-5
36,2016,1,T_max,30.619999999999997,2015-5
37,2016,1,T_mean,26.660000000000004,2015-5
38,2016,1,T_min,21.96,2015-6
39,2016,2,T_max,30.93125,2015-6
40,2016,2,T_mean,26.162499999999998,2015-6
41,2016,2,T_min,21.4875,2015-6
42,2016,3,T_max,32.025,2015-6
43,2016,3,T_mean,27.825,2015-6
44,2016,3,T_min,23.7625,2015-6
45,2016,4,T_max,35.114285714285714,2015-6
46,2016,4,T_mean,29.857142857142858,2015-6
47,2016,4,T_min,25.104285714285716,2015-6
48,2016,5,T_max,34.20526315789473,2015-6
49,2016,5,T_mean,29.663157894736845,2015-6
50,2016,5,T_min,25.51842105263158,2015-6
51,2016,6,T_max,33.635714285714286,2015-6
52,2016,6,T_mean,28.89642857142857,2015-6
53,2016,6,T_min,25.42678571428571,2015-6
54,2016,7,T_max,32.82142857142858,2015-6
55,2016,7,T_mean,28.123809523809523,2015-6
56,2016,7,T_min,24.480952380952377,2015-6
57,2016,8,T_max,30.761666666666663,2015-6
