,year,week,Kc,year_week
0,2015,0,1.3,2015-00
1,2015,1,1.2833333333333334,2015-00
2,2015,2,1.25,2015-00
3,2015,3,1.25,2015-01
4,2015,5,1.18,2015-01
5,2015,6,1.15,2015-01
6,2015,7,0.0,2015-02
7,2015,10,0.0,2015-02
8,2015,11,0.0,2015-03
9,2015,12,0.0,2015-03
10,2015,14,0.0,2015-05
11,2015,15,0.0,2015-06
12,2015,18,0.7999999999999999,2015-06
13,2015,19,0.9,2015-07
14,2015,21,0.9500000000000001,2015-10
15,2015,22,1.1,2015-11
16,2015,23,1.2,2015-11
17,2015,24,1.207142857142857,2015-12
18,2015,25,1.25,2015-12
19,2015,26,1.2857142857142858,2015-14
20,2015,27,1.2857142857142858,2015-14
21,2015,28,1.25,2015-15
22,2015,31,1.18,2015-18
23,2015,32,1.155,2015-18
24,2015,33,1.12,2015-18
25,2015,35,0.0,2015-18
26,2015,36,0.0,2015-18
27,2015,37,0.0,2015-18
28,2015,38,0.0,2015-18
29,2015,39,0.0,2015-19
30,2015,40,0.0,2015-19
31,2015,41,0.0,2015-21
32,2015,42,0.0,2015-21
33,2015,45,0.9,2015-21
34,2015,46,0.9,2015-21
35,2015,47,0.9500000000000001,2015-21
36,2015,48,1.05,2015-21
37,2015,49,1.1,2015-21
38,2015,50,1.2,2015-22
39,2015,51,1.25,2015-23
40,2015,52,1.25,2015-23
41,2016,0,1.3,2016-23
42,2016,1,1.3,2016-23
43,2016,2,1.25,2016-24
44,2016,3,1.2,2016-24
45,2016,5,1.18,2016-24
46,2016,6,1.18,2016-24
47,2016,7,1.15,2016-24
48,2016,8,0.0,2016-24
49,2016,9,0.0,2016-24
50,2016,11,0.0,2016-25
51,2016,13,0.0,2016-25
52,2016,14,0.0,2016-25
53,2016,15,0.0,2016-25
54,2016,16,0.0,2016-25
55,2016,17,0.2,2016-25
56,2016,18,0.8,2016-25
57,2016,19,0.9,2016-26
58,2016,20,0.9200000000000002,2016-26
59,2016,21,0.9500000000000001,2016-26
60,2016,22,1.0499999999999998,2016-26
61,2016,23,1.1333333333333335,2016-26
