time,T_mean,T_min,T_max,prcp,U_z,Kc,Pe,SAT,PERC,WL,P,ETo_FAO_mm,ETCrop,INRice,Location
2015-01-01,22.4,20.966666666666665,26.7,0.3,0.0,1.3,0.18,0,6,0,100.14157894736843,0.0,0.0,0.0,City of Malolos
2015-01-02,23.9,20.2,30.1,6.4,0.0,1.3,5.120000000000001,0,6,0,100.1421052631579,0.0,0.0,0.0,City of Malolos
2015-01-03,24.4,19.5,29.5,0.0,0.0,1.3,0.0,0,6,0,100.14263157894737,0.0,0.0,0.0,City of Malolos
2015-01-09,22.9,20.6,27.7,0.5,0.0,1.3,0.3,0,6,0,100.1457894736842,0.0,0.0,0.0,City of Malolos
2015-01-10,23.2,18.9,29.1,0.5,0.0,1.3,0.3,0,6,0,100.14631578947369,0.0,0.0,0.0,City of Malolos
2015-01-11,23.7,18.9,28.7,0.0,0.0,1.25,0.0,0,6,0,100.14684210526316,0.0,0.0,0.0,City of Malolos
2015-01-15,25.1,19.4,29.8,0.0,0.0,1.25,0.0,0,6,0,100.14894736842105,0.0,0.0,0.0,City of Malolos
2015-01-18,20.2,19.7,22.8,0.0,0.0,1.25,0.0,0,6,0,100.15052631578948,0.0,0.0,0.0,City of Malolos
2015-01-19,25.6,19.4,30.5,21.6,0.0,1.25,17.28,0,6,0,100.15105263157895,0.0,0.0,0.0,City of Malolos
2015-01-20,26.4,21.5,31.5,0.0,0.0,1.25,0.0,0,6,0,100.15157894736842,0.0,0.0,0.0,City of Malolos
2015-02-06,24.8,19.0,30.0,0.0,0.0,1.18,0.0,0,6,0,100.16052631578947,0.0,0.0,0.0,City of Malolos
2015-02-13,25.6,20.95,29.2,0.0,0.0,1.15,0.0,0,6,0,100.1642105263158,0.0,0.0,0.0,City of Malolos
2015-02-14,26.6,22.2,30.8,0.5,0.0,1.15,0.3,0,6,0,100.16473684210527,0.0,0.0,0.0,City of Malolos
2015-02-22,25.3,19.025,32.0,0.0,0.0,0.0,0.0,0,6,0,100.16894736842106,0.0,0.0,0.0,City of Malolos
2015-03-14,26.6,20.6,32.5,0.0,0.0,0.0,0.0,0,0,0,100.17947368421054,0.0,0.0,0.0,City of Malolos
2015-03-17,26.2,19.2,32.3,0.0,0.0,0.0,0.0,0,0,0,100.18105263157895,0.0,0.0,0.0,City of Malolos
2015-03-22,27.7,24.8,32.3,0.0,0.0,0.0,0.0,0,0,0,100.18368421052632,0.0,0.0,0.0,City of Malolos
2015-03-25,27.1,22.7,31.0,0.0,0.0,0.0,0.0,0,0,0,100.18526315789474,0.0,0.0,0.0,City of Malolos
2015-03-26,27.8,23.5,33.1,0.0,0.0,0.0,0.0,0,0,0,100.18578947368422,0.0,0.0,0.0,City of Malolos
2015-04-06,27.5,22.35,34.6,0.0,0.0,0.0,0.0,0,0,0,100.19157894736843,0.0,0.0,0.0,City of Malolos
2015-04-12,28.9,20.5,34.4,0.0,0.0,0.0,0.0,0,0,0,100.19473684210527,0.0,0.0,0.0,City of Malolos
2015-04-17,30.4,24.2,35.9,0.0,0.0,0.0,0.0,0,0,0,100.19736842105263,0.0,0.0,0.0,City of Malolos
2015-05-04,27.5,24.35,33.0,0.0,0.0,0.8,0.0,0,6,0,100.20631578947369,0.04,0.032,6.032,City of Malolos
2015-05-05,30.6,24.2,35.5,8.6,0.0,0.8,6.88,0,6,0,100.20684210526316,0.05,0.04000000000000001,-0.8399999999999999,City of Malolos
2015-05-06,28.6,24.35,34.2,0.0,0.0,0.8,0.0,0,6,0,100.20736842105264,0.11,0.08800000000000001,6.088,City of Malolos
2015-05-07,28.3,24.5,33.9,0.0,0.0,0.8,0.0,0,6,0,100.2078947368421,0.13,0.10400000000000001,6.104,City of Malolos
2015-05-08,28.9,24.6,34.4,7.1,0.0,0.8,5.68,0,6,0,100.20842105263159,0.15,0.12,0.4400000000000004,City of Malolos
2015-05-09,28.4,24.8,34.4,7.9,0.0,0.8,6.32,0,6,0,100.20894736842105,0.2,0.16000000000000003,-0.16000000000000014,City of Malolos
2015-05-10,29.3,25.6,32.7,5.6,0.0,0.8,4.4799999999999995,0,6,0,100.20947368421054,0.04,0.032,1.5520000000000005,City of Malolos
2015-05-11,29.9,25.35,34.7,0.0,0.0,0.9,0.0,0,6,0,100.21000000000001,0.17,0.15300000000000002,6.1530000000000005,City of Malolos
2015-05-16,30.7,24.6,35.2,0.0,0.0,0.9,0.0,0,6,0,100.21263157894737,0.23,0.20700000000000002,6.207,City of Malolos
2015-05-25,29.9,25.55,35.3,21.1,0.0,0.95,16.880000000000003,0,6,0,100.21736842105264,0.42,0.39899999999999997,-10.481000000000002,City of Malolos
2015-05-26,29.8,24.6,35.0,21.8,0.0,0.95,17.44,0,6,0,100.21789473684211,0.41,0.38949999999999996,-11.050500000000001,City of Malolos
2015-05-27,28.9,24.8,33.3,0.3,0.0,0.95,0.18,0,6,0,100.21842105263158,0.31,0.2945,6.1145000000000005,City of Malolos
2015-05-28,29.8,25.0,33.8,7.9,0.0,0.95,6.32,0,6,0,100.21894736842106,0.31,0.2945,-0.025500000000000078,City of Malolos
2015-05-29,29.2,24.6,33.75,0.0,0.0,0.95,0.0,0,6,0,100.21947368421053,0.35,0.33249999999999996,6.3325,City of Malolos
2015-05-30,28.6,24.2,33.7,4.3,0.0,0.95,3.44,0,6,0,100.22,0.39,0.3705,2.9305,City of Malolos
2015-05-31,29.1,23.8,34.7,1.0,0.0,0.95,0.6,0,6,0,100.22052631578947,0.46,0.437,5.837000000000001,City of Malolos
2015-06-01,30.4,25.5,36.0,0.0,0.0,1.1,0.0,0,6,0,100.22105263157896,0.53,0.5830000000000001,6.583,City of Malolos
2015-06-11,29.3,25.4,33.5,0.0,0.0,1.2,0.0,0,6,0,100.22631578947369,0.39,0.46799999999999997,6.468,City of Malolos
2015-06-12,30.3,25.2,34.0,6.1,0.0,1.2,4.88,0,6,0,100.22684210526316,0.39,0.46799999999999997,1.588,City of Malolos
2015-06-13,29.1,25.2,34.7,0.0,0.0,1.2,0.0,0,6,0,100.22736842105263,0.54,0.648,6.648,City of Malolos
2015-06-14,30.3,24.5,34.5,0.0,0.0,1.2,0.0,0,6,0,100.2278947368421,0.44,0.528,6.5280000000000005,City of Malolos
2015-06-15,30.7,25.8,35.5,0.0,0.0,1.2,0.0,0,6,0,100.22842105263157,0.53,0.636,6.636,City of Malolos
2015-06-16,29.9,25.9,34.4,0.0,0.0,1.2,0.0,0,6,0,100.22894736842106,0.46,0.552,6.552,City of Malolos
2015-06-17,27.9,25.45,34.0,0.5,0.0,1.2,0.3,0,6,0,100.22947368421052,0.53,0.636,6.336,City of Malolos
2015-06-18,27.9,25.0,34.4,50.5,0.0,1.2,40.400000000000006,0,6,0,100.23,0.59,0.708,-33.69200000000001,City of Malolos
2015-06-19,29.3,24.6,34.5,38.1,0.0,1.2,30.480000000000004,0,6,0,100.23052631578948,0.51,0.612,-23.868000000000002,City of Malolos
2015-06-20,27.9,24.55,32.6,0.0,0.0,1.2,0.0,0,6,0,100.23105263157896,0.4,0.48,6.48,City of Malolos
2015-06-21,27.1,24.5,31.0,12.7,0.0,1.25,10.16,0,6,0,100.23157894736842,0.3,0.375,-3.785,City of Malolos
2015-06-22,29.1,24.0,33.4,2.3,0.0,1.25,1.38,0,6,0,100.2321052631579,0.41,0.5125,5.1325,City of Malolos
2015-06-23,29.5,24.2,33.5,3.8,0.0,1.25,3.04,0,6,0,100.23263157894738,0.4,0.5,3.46,City of Malolos
2015-06-24,29.8,25.9,33.6,15.0,0.0,1.25,12.0,0,6,0,100.23315789473685,0.39,0.48750000000000004,-5.5125,City of Malolos
2015-06-25,30.2,25.8,34.2,1.3,0.0,1.25,0.78,0,6,0,100.23368421052632,0.42,0.525,5.745,City of Malolos
2015-06-26,29.2,25.366666666666667,34.0,2.0,0.0,1.25,1.2,0,6,0,100.23421052631579,0.46,0.5750000000000001,5.375,City of Malolos
2015-06-27,28.8,24.933333333333334,34.4,0.0,0.0,1.25,0.0,0,6,0,100.23473684210526,0.53,0.6625000000000001,6.6625,City of Malolos
2015-06-28,29.2,24.5,34.5,0.0,0.0,1.25,0.0,0,6,0,100.23526315789474,0.51,0.6375,6.6375,City of Malolos
2015-06-29,29.1,24.8,34.0,20.1,0.0,1.25,16.080000000000002,0,6,0,100.23578947368422,0.46,0.5750000000000001,-9.505000000000003,City of Malolos
2015-06-30,29.6,24.7,33.6,22.1,0.0,1.25,17.680000000000003,0,6,0,100.23631578947368,0.39,0.48750000000000004,-11.192500000000003,City of Malolos
2015-07-01,30.1,24.599999999999998,33.8,0.8,0.0,1.3,0.48,0,6,0,100.23684210526316,0.38,0.49400000000000005,6.013999999999999,City of Malolos
2015-07-02,29.2,24.5,33.2,28.4,0.0,1.3,22.72,0,6,0,100.23736842105264,0.37,0.481,-16.238999999999997,City of Malolos
2015-07-03,29.3,26.9,33.3,0.0,0.0,1.3,0.0,0,6,0,100.23789473684211,0.35,0.45499999999999996,6.455,City of Malolos
